"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2019-07-29T22:42:28.0218818+07:00[Asia/Saigon]","0.0","13.89"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2019-07-29T22:42:42.0942718+07:00[Asia/Saigon]","0.0","4.07"
